name,Username,Congressperson,Chamber,Party,State,Region,Division
398,RepLindaSanchez,Linda Sanchez,House,D,CA,West,Pacific
399,RepSarbanes,John Sarbanes,House,D,MD,South,South Atlantic
400,SteveScalise,Steve Scalise,House,R,LA,South,West South Central
401,RepMGS,Mary Gay Scanlon,House,D,PA,Northeast,Middle Atlantic
402,janschakowsky,Jan Schakowsky,House,D,IL,Midwest,East North Central
403,RepAdamSchiff,Adam Schiff,House,D,CA,West,Pacific
404,RepSchneider,Brad Schneider,House,D,IL,Midwest,East North Central
405,RepSchrader,Kurt Schrader,House,D,OR,West,Pacific
406,RepKimSchrier,Kim Schrier,House,D,WA,West,Pacific
407,RepDavid,David Schweikert,House,D,AZ,West,Mountain
408,AustinScottGA08,Austin Scott,House,R,GA,South,South Atlantic
409,BobbyScott,Bobby Scott,House,D,VA,South,South Atlantic
410,PeteSessions,Pete Sessions,House,R,TX,South,West South Central
411,RepTerriSewell,Terri Sewell,House,D,AL,South,East South Central
412,BradSherman,Brad Sherman,House,D,CA,West,Pacific
413,RepSherrill,Mikie Sherrill,House,D,NJ,Northeast,Middle Atlantic
414,CongMikeSimpson,Mike Simpson,House,R,ID,West,Mountain
415,RepSires,Albio Sires,House,D,NJ,Northeast,Middle Atlantic
416,RepSlotkin,Elissa Slotkin,House,D,MI,Midwest,East North Central
417,RepAdamSmith,Adam Smith,House,D,WA,West,Pacific
418,RepAdrianSmith,Adrian Smith,House,R,NE,Midwest,West North Central
419,RepJasonSmith,Jason Smith,House,R,MO,Midwest,West North Central
420,RepSmucker,Lloyd Smucker,House,R,PA,Northeast,Middle Atlantic
421,RepDarrenSoto,Darren Soto,House,D,FL,South,South Atlantic
422,RepSpanberger,Abigail Spanberger,House,D,VA,South,South Atlantic
423,RepSpartz,Victoria Spartz,House,R,IN,Midwest,East North Central
424,RepSpeier,Jackie Speier,House,D,CA,West,Pacific
425,Rep_Stansbury,Melanie Stansbury,House,D,NM,West,Mountain
426,RepGregStanton,Greg Stanton,House,R,TX,South,West South Central
427,RepPeteStauber,Pete Stauber,House,R,MN,Midwest,West North Central
428,RepSteel,Michelle Park Steel,House,R,CA,West,Pacific
429,RepStefanik,Elise Stefanik,House,R,NY,Northeast,Middle Atlantic
430,RepBryanSteil,Bryan Steil,House,R,WI,Midwest,East North Central
431,RepGregSteube,Greg Steube,House,R,FL,South,South Atlantic
432,RepHaleyStevens,Haley Stevens,House,D,MI,Midwest,East North Central
433,RepChrisStewart,Chris Stewart,House,R,UT,West,Mountain
434,RepStricklandWA,Marilyn Strickland,House,D,WA,West,Pacific
435,RepTomSuozzi,Tom Suozzi,House,D,NY,Northeast,Middle Atlantic
436,RepSwalwell,Eric Swalell,House,D,CA,West,Pacific
437,RepMarkTakano,Mark Takano,House,D,CA,West,Pacific
438,claudiatenney,Claudia Tenney,House,R,NY,Northeast,Middle Atlantic
439,BennieGThompson,Bennie Thompson,House,D,MS,South,East South Central
440,RepThompson,Mike Thompson,House,D,CA,West,Pacific
441,RepTiffany,Tom Tiffany,House,R,WI,Midwest,East North Central
442,RepTimmons,William Timmons,House,R,SC,South,South Atlantic
443,repdinatitus,Dina Titus,House,D,NV,West,Mountain
444,RepRashida,Rashida Tlaib,House,D,MI,Midwest,East North Central
445,RepPaulTonko,Paul Tanko,House,D,NY,Northeast,Middle Atlantic
446,NormaJTorres,Norma Torres,House,D,CA,West,Pacific
447,RepRitchie,Ritchie Torres,House,D,NY,Northeast,Middle Atlantic
448,RepLoriTrahan,Lori Trahan,House,D,MA,Northeast,New England
449,RepDavidTrone,David Trone,House,D,MD,South,South Atlantic
450,RepMikeTurner,Mike Turner,House,R,OH,Midwest,East North Central
451,RepUnderwood,Lauren Underwood,House,D,IL,Midwest,East North Central
452,RepDavidValadao,David Valadao,House,R,CA,West,Pacific
453,RepBethVanDuyne,Beth Van Duyne,House,R,TX,South,West South Central
454,RepJuanVargas,Juan Vargas,House,D,CA,West,Pacific
455,RepVeasey,Marc Veasey,House,D,TX,South,West South Central
456,NydiaVelazquez,Nydia Velazquez,House,D,NY,Northeast,Middle Atlantic
457,RepAnnWagner,Ann Wagner,House,R,MO,Midwest,West North Central
458,RepWalberg,Tim Walberg,House,R,MI,Midwest,East North Central
459,RepWalorski,Jackie Walorski,House,R,IN,Midwest,East North Central
460,michaelgwaltz,Michael Gwaltz,House,R,FL,South,South Atlantic
461,RepDWStweets,Debbie Wasserman Schultz,House,D,FL,South,South Atlantic
462,RepBonnie,Bonnie Watson Coleman,House,D,NJ,Northeast,Middle Atlantic
463,RepWebster,Daniel Webster,House,R,FL,South,South Atlantic
464,PeterWelch,Peter Welch,House,D,VT,Northeast,New England
465,RepWesterman,Bruce Westerman,House,R,AR,South,West South Central
466,RepWexton,Jennifer Wexton,House,D,VA,South,South Atlantic
467,RepSusanWild,Susan Wild,House,D,PA,Northeast,Middle Atlantic
468,RepNikema,Nikema Williams,House,D,GA,South,South Atlantic
469,RepRWilliams,Roger Williams,House,R,TX,South,West South Central
470,RepWilson,Frederica Wilson,House,R,SC,South,South Atlantic
471,RepJoeWilson,Joe Wilson,House,R,SC,South,South Atlantic
472,RobWittman,Rob Wittman,House,R,VA,South,South Atlantic
473,rep_stevewomack,Steve Womack,House,R,AR,South,West South Central
474,RepJohnYarmuth,John Yarmuth,House,D,KY,South,East South Central
475,RepLeeZeldin,Lee Zeldin,House,R,NY,Northeast,Middle Atlantic
